,ENER,GRMS,DELTA,BOND,ANGL,UREY,DIHE,IMPR,VDW,ELEC,HBON,USER,HARM,CDIH,CIC,CDRO,NOE,SBOU,IMNB,IMEL,IMHB,EWKS,EWSE,EXTE,RXNF,ST2,IMST,TSM,QMEL,QMVD,ASP,EHAR,GEO,MDIP,PINT,PRMS,PANG,SSBP,BK4D,SHEL,RESD,SHAP,STRB,OOPL,PULL,POLA,DMC,RGY,EWEX,EWQC,EWUT,PBEL,PBNP,MBDE,STRS,BNDB,BNDT,EBST,MBST,BBT,SST,GBEN,HMCM,$\theta_1$,$\theta_2$,$r$,NBOND
49,35.97747561131814,0.5755830649602178,0.05917491247214457,0.2186853950746099,1.3684650079380838,0.22369440371799415,-0.5004607371601857,0.004178527168930696,-0.23413562395552937,34.89704863853424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.83745551515707,62.24604155178993,7.995000000000006,34.662913014578706
50,35.86644819671389,0.5755830649602178,0.17020232707639593,0.26647941628881777,1.3160684419890778,0.21985897754353342,-0.5459772399409434,0.00216496688271492,-0.26592574838389293,34.87377938233458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.37417358637418,62.54194316808358,7.995000000000003,34.60785363395069
55,36.59934492548658,0.5755830649602178,-0.5626944016962909,0.24998791824919925,1.6964831622369652,0.3637255998338197,-0.5186781460001495,0.00432380098498301,-0.17724439855602722,34.980746988737785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.522738368185028,61.047526159444764,7.995000000000003,34.80350259018176
56,35.98754259078352,0.5755830649602178,0.0491079330067663,0.2404336100092354,1.3744132099983999,0.22226007422496,-0.5749865037084593,0.0024318031161974264,-0.23955412921514962,34.962544526358336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.35034719338548,60.538268122518105,7.9950000000000045,34.722990397143185
58,36.17436133400846,0.5755830649602178,-0.13771081021817366,0.2509079195275021,1.3266609473697395,0.22301385357607084,-0.5653397960535583,0.003092415390692046,-0.22607954393354732,35.16210553813156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.939921271021854,59.97351681423986,7.995000000000003,34.93602599419802
62,35.91882918380779,0.5755830649602178,0.11782133998249833,0.2591322767057104,1.3729661591368683,0.23230916008486566,-0.5512717390202843,0.0017495076600876824,-0.2633703581968563,34.86731417743739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.6394780268626,61.23581900094512,7.990000000000004,34.603943819240534
63,35.93980797821817,0.5755830649602178,0.09684254557211602,0.26295591781578265,1.233809290490831,0.2027152836730407,-0.5366912455957104,0.00038304993820350636,-0.15374520133882405,34.93038088323485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.646355116122745,61.78230781126917,7.990000000000002,34.776635681896025
66,35.84939133265294,0.5755830649602178,0.18725919113734335,0.28279085961268546,1.4267062251791864,0.23137206320589854,-0.5458562758230573,0.00449692622421615,-0.30649007304214526,34.75637160729616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.806159542099074,62.617340547985044,7.9900000000000055,34.44988153425401
67,35.69080581367834,0.5755830649602178,0.3458447101119475,0.250698863796629,1.3731279359879753,0.21201283389525477,-0.5977291326001859,2.17029489478506e-07,-0.3036122453388002,34.75630734090797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.45855109246187,62.4609104061104,7.990000000000007,34.452695095569176
70,35.89714324856121,0.5755830649602178,0.1395072752290787,0.27753216796122254,1.3132895325063485,0.2207355469203861,-0.5778434831631024,0.002895395388178382,-0.28116953304662967,34.941703621994805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.51881327008478,61.04528647343719,7.9900000000000055,34.660534088948175
